resume_id,job_id,all-mpnet-base-v2_score,paraphrase-MiniLM-L6-v2_score,all-MiniLM-L12-v1_score,all-roberta-large-v1_score,bert_base_nli_mean_tokens_score
pdf_resume_2061,Full-stack Developer.txt,0.236,0.239,0.295,0.156,0.756
pdf_resume_2062,Full-stack Developer.txt,0.502,0.29,0.452,0.421,0.812
pdf_resume_2064,Full-stack Developer.txt,0.25,0.0,0.274,0.24,0.661
pdf_resume_2070,Full-stack Developer.txt,0.381,0.212,0.373,0.292,0.781
pdf_resume_2071,Full-stack Developer.txt,0.552,0.543,0.635,0.583,0.851
pdf_resume_2074,Full-stack Developer.txt,0.425,0.354,0.296,0.266,0.772
pdf_resume_2075,Full-stack Developer.txt,0.46,0.405,0.372,0.417,0.787
pdf_resume_2077,Full-stack Developer.txt,0.474,0.505,0.528,0.415,0.799
pdf_resume_2078,Full-stack Developer.txt,0.355,0.417,0.287,0.335,0.784
pdf_resume_2079,Full-stack Developer.txt,0.319,0.212,0.379,0.29,0.796
pdf_resume_2086,Full-stack Developer.txt,0.454,0.275,0.442,0.491,0.789
pdf_resume_2089,Full-stack Developer.txt,0.374,0.306,0.324,0.294,0.748
pdf_resume_209,Full-stack Developer.txt,0.383,0.206,0.372,0.296,0.775
pdf_resume_2094,Full-stack Developer.txt,0.386,0.0,0.317,0.43,0.75
pdf_resume_2104,Full-stack Developer.txt,0.329,0.212,0.392,0.296,0.817
pdf_resume_2106,Full-stack Developer.txt,0.443,0.286,0.448,0.445,0.813
pdf_resume_2129,Full-stack Developer.txt,0.458,0.201,0.369,0.357,0.787
pdf_resume_2141,Full-stack Developer.txt,0.472,0.526,0.476,0.384,0.832
pdf_resume_2145,Full-stack Developer.txt,0.418,0.315,0.393,0.36,0.778
pdf_resume_2149,Full-stack Developer.txt,0.453,0.341,0.45,0.364,0.819
pdf_resume_215,Full-stack Developer.txt,0.459,0.492,0.462,0.342,0.793
pdf_resume_2157,Full-stack Developer.txt,0.374,0.298,0.359,0.36,0.76
pdf_resume_2160,Full-stack Developer.txt,0.407,0.187,0.462,0.442,0.786
pdf_resume_2162,Full-stack Developer.txt,0.433,0.283,0.371,0.306,0.801
pdf_resume_2164,Full-stack Developer.txt,0.611,0.611,0.625,0.578,0.855
pdf_resume_2167,Full-stack Developer.txt,0.454,0.362,0.448,0.364,0.821
pdf_resume_2168,Full-stack Developer.txt,0.472,0.425,0.394,0.42,0.777
pdf_resume_2172,Full-stack Developer.txt,0.381,0.376,0.462,0.29,0.725
pdf_resume_2179,Full-stack Developer.txt,0.516,0.489,0.513,0.481,0.841
pdf_resume_2189,Full-stack Developer.txt,0.344,0.126,0.409,0.364,0.775
pdf_resume_219,Full-stack Developer.txt,0.561,0.473,0.543,0.485,0.824
pdf_resume_2197,Full-stack Developer.txt,0.293,0.218,0.333,0.267,0.766
pdf_resume_2198,Full-stack Developer.txt,0.682,0.562,0.693,0.533,0.87
pdf_resume_22,Full-stack Developer.txt,0.425,0.306,0.481,0.332,0.798
pdf_resume_2212,Full-stack Developer.txt,0.421,0.212,0.359,0.289,0.764
pdf_resume_2217,Full-stack Developer.txt,0.167,0.147,0.16,0.175,0.745
pdf_resume_2218,Full-stack Developer.txt,0.335,0.295,0.403,0.292,0.75
pdf_resume_2219,Full-stack Developer.txt,0.473,0.282,0.479,0.354,0.768
pdf_resume_2221,Full-stack Developer.txt,0.49,0.154,0.413,0.384,0.733
pdf_resume_2222,Full-stack Developer.txt,0.411,0.407,0.393,0.285,0.747
pdf_resume_2224,Full-stack Developer.txt,0.329,0.212,0.392,0.296,0.793
pdf_resume_2225,Full-stack Developer.txt,0.475,0.248,0.472,0.38,0.741
pdf_resume_2230,Full-stack Developer.txt,0.318,0.327,0.254,0.373,0.774
